"","ballot_ID","state","county","voted_2016","student_loan","faminc","child_u18","followed_event_fb","education","employment","social_media","marital_status","home_owner_status","voted_2012","birth_year","vote_method","health_insurance"
"1347","90347","Pennsylvania","Lackawanna PA",NA,"no",3,"no","No","highschool","other","Yes","Divorced","rent",NA,NA,NA,"yes"
"1348","17941","Arizona","Maricopa AZ","republican","no",32,"no",NA,"highschool","employed","No","Widowed","own","democrat",NA,"by mail","no"
"1349","87013","Florida","Duval FL","republican","no",3,"no","Yes","highschool","other","Yes","Married","own","republican",NA,"by mail","yes"
"1350","84745","Florida","Lee FL",NA,"no",32,"no",NA,"highschool","employed","No","Divorced","own","did not vote",NA,"in person ","no"
"1351","33413","Pennsylvania","Lancaster PA","democrat","no",8,"no",NA,"highschool","employed","No","Single","own","democrat",NA,"in person ","no"
"1352","97246","Colorado","El Paso CO","republican","no",32,"no",NA,"highschool","other","No","Widowed","rent","republican",NA,"in person","yes"
"1353","82091","Pennsylvania","York PA","democrat","yes",5,"no",NA,"highschool","employed","No","Married","own",NA,NA,"in person ","no"
"1354","31042","Florida","Lake FL","democrat","no",32,"no","No","highschool","other","Yes","Married","rent","democrat",NA,"by mail","no"
"1355","16093","Minnesota","Goodhue MN",NA,"no",11,"no",NA,"postgraduate","employed","No","Single","own","republican",NA,"in person ","no"
"1356","97521","Pennsylvania","Centre PA","democrat","no",11,"yes","Yes","postgraduate","employed","Yes","Married","own",NA,NA,"in person ","no"
"1357","05907","Pennsylvania","Chester PA","democrat","yes",11,"yes","Yes","postgraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"1358","28264","Florida","Palm Beach FL","republican","yes",8,"no","Yes","postgraduate","employed","Yes","Divorced","own","republican",NA,"in person","no"
"1359","59322","Michigan","Cass MI",NA,"no",6,"yes","No","highschool","other","Yes","Married","own",NA,NA,NA,"no"
"1360","62526","Florida","Duval FL","republican","no",2,"no","No","no_highschool","unemployed","Yes","Married","rent",NA,NA,"by mail","no"
"1361","13135","Pennsylvania","Dauphin PA","democrat","no",5,"no",NA,"highschool","employed","No","Single","own","democrat",NA,"in person ","no"
"1362","70179","Wisconsin","Marathon WI",NA,"no",3,"no","No","no_highschool","unemployed","Yes","Married","rent",NA,NA,NA,"no"
"1363","39129","Nevada","Clark NV","democrat","no",2,"no",NA,"highschool","other","No","Divorced","rent","republican",NA,"in person","yes"
"1364","30021","Florida","Broward FL","democrat","no",11,"no","No","highschool","retired","Yes","Divorced","own","democrat",NA,"by mail","yes"
"1365","90641","Florida","Okaloosa FL","republican","no",4,"no","No","highschool","retired","Yes","Married","own","republican",NA,"in person","yes"
"1366","83227","Georgia","Columbia GA","republican","no",10,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"in person","yes"
"1367","59224","Arizona","Pima AZ","republican","no",4,"no",NA,"highschool","retired","No","Married","own","republican",NA,"by mail","yes"
"1368","71319","Arizona","Maricopa AZ","democrat","no",8,"no",NA,"highschool","retired","No","Divorced","own","democrat",NA,"in person ","no"
"1369","87862","Florida","Broward FL","republican","no",14,"no","No","highschool","employed","Yes","Married","own","republican",NA,"by mail","no"
"1370","66720","Florida","Hardee FL","republican","no",8,"no",NA,"highschool","retired","No","Divorced","own","republican",NA,"in person","yes"
"1371","77606","North Carolina","Guilford NC","republican","no",10,"no","Yes","highschool","employed","Yes","Married","own","republican",NA,"in person","yes"
"1372","01510","Colorado","El Paso CO","republican","no",8,"yes","No","highschool","retired","Yes","Married","own","republican",NA,"by mail","yes"
"1373","69707","Georgia","Fayette GA","republican","no",11,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"in person","yes"
"1374","70827","Florida","St. Lucie FL","democrat","no",9,"no","No","undergraduate","retired","Yes","Divorced","own","democrat",NA,"in person","yes"
"1375","98215","Michigan","Oakland MI","democrat","no",6,"no","No","undergraduate","retired","Yes","Married","own","democrat",NA,"in person ","yes"
"1376","45699","Minnesota","St. Louis MN","republican","no",9,"no",NA,"undergraduate","retired","No","Married","own","democrat",NA,"in person ","yes"
"1377","19406","Georgia","Gwinnett GA","democrat","no",10,"no",NA,"undergraduate","retired","No","Married","own","democrat",NA,"in person","yes"
"1378","96690","Florida","Brevard FL","republican","no",6,"no",NA,"undergraduate","retired","No","Married","own","republican",NA,"in person","yes"
"1379","10616","Florida","Orange FL","democrat","no",7,"no","No","postgraduate","retired","Yes","Married","own","democrat",NA,"in person","yes"
"1380","93954","Virginia","Harrisonburg city VA","democrat","no",8,"no","No","postgraduate","retired","Yes","Married","own","democrat",NA,"in person ","yes"
"1381","07910","Michigan","Wayne MI","democrat","no",10,"no",NA,"postgraduate","retired","No","Married","own","democrat",NA,"by mail","yes"
"1382","46042","Georgia","Chatham GA","republican","no",10,"no",NA,"postgraduate","employed","No","Married","own","republican",NA,"in person","no"
"1383","68620","Minnesota","Hennepin MN","democrat","no",10,"no",NA,"postgraduate","retired","No","Married","own","democrat",NA,"in person","yes"
"1384","28097","Georgia","Forsyth GA","democrat","no",9,"no",NA,"postgraduate","retired","No","Married","own","democrat",NA,"in person","yes"
"1385","16849","Pennsylvania","Northampton PA","democrat","no",32,"no",NA,"postgraduate","retired","No","Married","rent","democrat",NA,"in person ","yes"
"1386","39985","Arizona","Yuma AZ","democrat","no",7,"yes","Yes","undergraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"1387","08323","Georgia","DeKalb GA",NA,NA,32,"no","No","undergraduate","employed","Yes","Single","other",NA,NA,NA,"no"
"1388","70847","Minnesota","Dakota MN","democrat","no",7,"yes",NA,"undergraduate","employed","No","Divorced","own","democrat",NA,"in person ","no"
"1389","68782","Pennsylvania","Montgomery PA","republican","no",10,"no",NA,"undergraduate","employed","No","Married","own","republican",NA,"in person ","no"
"1390","47341","Florida","Collier FL","republican","no",32,"no",NA,"undergraduate","employed","No","Married","own","republican",NA,"in person ","no"
"1391","40471","Pennsylvania","Berks PA","democrat","no",10,"no","No","postgraduate","student","Yes","Single","rent","democrat",NA,"in person ","no"
"1392","12392","North Carolina","Edgecombe NC","democrat","yes",3,"no","No","highschool","other","Yes","Separated","rent","democrat",NA,"in person","yes"
"1393","63807","Virginia","Newport News city VA",NA,"yes",3,"no","Yes","highschool","other","Yes","Married","rent",NA,NA,NA,"no"
"1394","75611","Georgia","Fulton GA","democrat","no",4,"no","No","highschool","retired","Yes","Single","rent","democrat",NA,"in person","yes"
"1395","89484","Pennsylvania","Allegheny PA","democrat","no",9,"no","No","postgraduate","employed","Yes","Single","own","republican",NA,"in person ","no"
"1396","06110","Virginia","Arlington VA",NA,NA,11,"yes","No","postgraduate","employed","Yes","Married","rent","democrat",NA,NA,"no"
"1397","04729","Michigan","Genesee MI",NA,"yes",3,"yes","No","postgraduate","employed","Yes","Divorced","rent","democrat",NA,"by mail","yes"
"1398","10502","Georgia","Gwinnett GA","democrat","no",9,"no","Yes","highschool","employed","Yes","Married","own","democrat",NA,"in person","no"
"1399","79141","Michigan","Wayne MI","democrat","yes",32,"no","No","postgraduate","retired","Yes","Married","own","democrat",NA,"in person ","no"
"1400","51425","Florida","Broward FL","democrat","yes",32,"no",NA,"undergraduate","retired","No","Married","rent","democrat",NA,"in person","yes"
"1401","24243","Florida","Miami-Dade FL","democrat","no",10,"no",NA,"undergraduate","retired","No","Married","own","democrat",NA,"by mail","yes"
"1402","42203","Wisconsin","Washington WI","republican","no",9,"yes",NA,"highschool","employed","No","Married","own",NA,NA,"in person ","no"
"1403","71001","Georgia","Dawson GA",NA,NA,6,"no","Yes","undergraduate","other","Yes","Single","own","democrat",NA,NA,"no"
"1404","80277","Wisconsin","Milwaukee WI","republican","no",5,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person ","yes"
"1405","73418","Arizona","Maricopa AZ",NA,"no",32,"no",NA,"highschool","retired","No","Married","own","republican",NA,NA,"yes"
"1406","74100","Minnesota","Anoka MN","republican","no",32,"no",NA,"highschool","retired","No","Married","own","democrat",NA,"in person ","yes"
"1407","80094","Pennsylvania","Delaware PA","republican","no",6,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person ","no"
"1408","38273","Arizona","Maricopa AZ","republican","yes",8,"yes","No","undergraduate","other","Yes","Married","own","republican",NA,"in person ","no"
"1409","16458","Pennsylvania","Clearfield PA",NA,"yes",7,"no","No","undergraduate","employed","Yes","Single","own",NA,NA,NA,"no"
"1410","53366","Florida","Sarasota FL","republican","no",4,"no",NA,"highschool","unemployed","No","Divorced","own","republican",NA,"by mail","yes"
"1411","70741","Pennsylvania","Berks PA",NA,"no",2,"no","No","highschool","employed","Yes","Married","other",NA,NA,NA,"no"
